Timesteps,Accuracy
0,54.57413249211357
1,66.40378548895899
2,66.40378548895899
3,71.76656151419559
4,71.76656151419559
5,74.13249211356468
6,75.39432176656152
7,78.86435331230284
8,81.86119873817034
9,81.23028391167192
10,82.01892744479495
11,81.86119873817034
12,83.59621451104101
13,85.48895899053628
14,85.8044164037855
15,87.53943217665615
16,88.32807570977917
17,89.27444794952682
18,88.95899053627761
19,90.37854889589906
20,90.69400630914826
21,91.48264984227129
22,91.7981072555205
23,91.6403785488959
24,91.6403785488959
