Timesteps,Accuracy
0,50.0
1,86.90851735015774
2,65.61514195583597
3,88.01261829652996
4,89.27444794952682
5,89.74763406940063
6,89.74763406940063
7,91.00946372239747
8,91.6403785488959
9,91.9558359621451
10,93.05993690851734
11,92.58675078864354
12,92.27129337539432
13,94.1640378548896
14,92.11356466876973
15,94.6372239747634
16,92.90220820189275
17,92.74447949526814
18,92.74447949526814
19,93.05993690851734
20,94.1640378548896
21,93.21766561514195
22,92.90220820189275
23,94.3217665615142
24,90.69400630914826
