Timesteps,Accuracy
0,50.0
1,57.88643533123028
2,57.88643533123028
3,57.88643533123028
4,62.93375394321766
5,61.82965299684543
6,63.09148264984227
7,66.7192429022082
8,66.8769716088328
9,68.29652996845425
10,69.4006309148265
11,68.76971608832808
12,71.92429022082018
13,71.92429022082018
14,75.86750788643532
15,77.91798107255521
16,81.54574132492114
17,85.01577287066246
18,85.17350157728707
19,86.2776025236593
20,88.95899053627761
21,89.27444794952682
22,88.95899053627761
23,93.53312302839116
24,93.53312302839116
