Timesteps,Accuracy
0,50.0
1,57.88643533123028
2,61.82965299684543
3,62.93375394321766
4,66.7192429022082
5,66.8769716088328
6,67.98107255520505
7,69.4006309148265
8,69.4006309148265
9,72.39747634069401
10,75.0788643533123
11,74.29022082018928
12,76.97160883280758
13,77.44479495268138
14,79.65299684542587
15,81.07255520504731
16,81.86119873817034
17,84.85804416403786
18,85.48895899053628
19,86.1198738170347
20,86.43533123028391
21,86.43533123028391
22,87.69716088328076
23,88.95899053627761
24,93.53312302839116
