Timesteps,Accuracy
0,55.3030303030303
1,68.93939393939394
2,57.57575757575758
3,71.21212121212122
4,68.93939393939394
5,73.48484848484848
6,71.21212121212122
7,79.54545454545455
8,80.3030303030303
9,87.12121212121212
10,90.15151515151516
11,90.9090909090909
12,90.15151515151516
13,87.87878787878788
14,88.63636363636364
15,87.87878787878788
16,87.12121212121212
17,87.12121212121212
18,86.36363636363636
19,86.36363636363636
20,86.36363636363636
21,85.60606060606061
22,85.60606060606061
23,84.0909090909091
24,85.60606060606061
