Timesteps,Accuracy
0,55.3030303030303
1,66.66666666666666
2,58.333333333333336
3,67.42424242424242
4,76.51515151515152
5,79.54545454545455
6,82.57575757575758
7,81.81818181818183
8,87.12121212121212
9,87.87878787878788
10,89.39393939393939
11,86.36363636363636
12,86.36363636363636
13,86.36363636363636
14,84.0909090909091
15,83.33333333333334
16,86.36363636363636
17,84.84848484848484
18,84.0909090909091
19,85.60606060606061
20,84.0909090909091
21,84.0909090909091
22,84.0909090909091
23,85.60606060606061
24,84.84848484848484
