Timesteps,Accuracy
0,55.3030303030303
1,62.121212121212125
2,62.121212121212125
3,62.878787878787875
4,65.15151515151516
5,66.66666666666666
6,70.45454545454545
7,69.6969696969697
8,82.57575757575758
9,76.51515151515152
10,84.84848484848484
11,81.81818181818183
12,85.60606060606061
13,86.36363636363636
14,85.60606060606061
15,87.12121212121212
16,87.87878787878788
17,86.36363636363636
18,87.12121212121212
19,89.39393939393939
20,87.12121212121212
21,88.63636363636364
22,88.63636363636364
23,88.63636363636364
24,90.15151515151516
