Timesteps,Accuracy
0,55.3030303030303
1,59.09090909090909
2,60.60606060606061
3,62.121212121212125
4,62.121212121212125
5,62.121212121212125
6,63.63636363636363
7,64.39393939393939
8,65.15151515151516
9,68.18181818181817
10,68.18181818181817
11,68.93939393939394
12,69.6969696969697
13,71.96969696969697
14,72.72727272727273
15,77.27272727272727
16,77.27272727272727
17,77.27272727272727
18,77.27272727272727
19,77.27272727272727
20,78.03030303030303
21,78.03030303030303
22,79.54545454545455
23,81.81818181818183
24,83.33333333333334
