Timesteps,Accuracy
0,50.0
1,88.64353312302839
2,61.67192429022082
3,90.69400630914826
4,67.66561514195584
5,90.85173501577287
6,79.49526813880126
7,91.6403785488959
8,86.1198738170347
9,91.48264984227129
10,90.06309148264984
11,92.27129337539432
12,90.37854889589906
13,92.27129337539432
14,90.22082018927445
15,92.90220820189275
16,90.69400630914826
17,91.48264984227129
18,91.7981072555205
19,92.74447949526814
20,93.05993690851734
21,92.27129337539432
22,93.05993690851734
23,93.05993690851734
24,91.16719242902208
