Timesteps,Accuracy
0,56.15141955835961
1,67.50788643533123
2,66.40378548895899
3,71.76656151419559
4,72.08201892744479
5,74.76340694006309
6,76.02523659305994
7,78.39116719242902
8,78.86435331230284
9,80.7570977917981
10,81.38801261829653
11,84.06940063091483
12,84.06940063091483
13,85.17350157728707
14,85.48895899053628
15,87.22397476340694
16,87.22397476340694
17,88.95899053627761
18,88.801261829653
19,89.74763406940063
20,90.22082018927445
21,90.85173501577287
22,91.48264984227129
23,91.32492113564669
24,91.48264984227129
