Timesteps,Accuracy
0,50.0
1,86.90851735015774
2,61.82965299684543
3,89.27444794952682
4,69.4006309148265
5,89.74763406940063
6,79.65299684542587
7,91.00946372239747
8,88.801261829653
9,91.9558359621451
10,92.11356466876973
11,92.90220820189275
12,93.69085173501577
13,92.42902208201893
14,93.05993690851734
15,92.58675078864354
16,94.00630914826499
17,92.58675078864354
18,93.84858044164038
19,92.90220820189275
20,92.42902208201893
21,93.37539432176656
22,91.32492113564669
23,93.53312302839116
24,89.74763406940063
