Timesteps,Accuracy
0,53.785488958990534
1,66.24605678233438
2,66.08832807570978
3,72.55520504731862
4,72.08201892744479
5,76.49842271293376
6,75.39432176656152
7,78.86435331230284
8,78.70662460567823
9,81.07255520504731
10,81.23028391167192
11,84.70031545741324
12,83.4384858044164
13,85.48895899053628
14,85.17350157728707
15,88.32807570977917
16,87.06624605678233
17,89.27444794952682
18,88.01261829652996
19,90.22082018927445
20,90.53627760252367
21,90.85173501577287
22,91.32492113564669
23,91.16719242902208
24,90.69400630914826
