Timesteps,Accuracy
0,52.83911671924291
1,62.93375394321766
2,64.98422712933754
3,69.5583596214511
4,69.2429022082019
5,72.08201892744479
6,73.65930599369085
7,76.18296529968454
8,78.07570977917982
9,79.65299684542587
10,79.96845425867508
11,83.59621451104101
12,83.2807570977918
13,84.54258675078864
14,85.48895899053628
15,87.06624605678233
16,87.69716088328076
17,88.17034700315457
18,89.27444794952682
19,89.1167192429022
20,89.74763406940063
21,91.00946372239747
22,91.00946372239747
23,90.69400630914826
24,90.53627760252367
