Timesteps,Accuracy
0,50.0
1,50.0
2,57.88643533123028
3,57.88643533123028
4,57.88643533123028
5,61.82965299684543
6,61.82965299684543
7,60.252365930599375
8,63.24921135646687
9,66.8769716088328
10,64.66876971608832
11,67.66561514195584
12,68.29652996845425
13,70.03154574132492
14,70.82018927444796
15,74.60567823343848
16,75.86750788643532
17,81.23028391167192
18,82.17665615141956
19,82.96529968454259
20,85.33123028391168
21,85.8044164037855
22,85.8044164037855
23,87.06624605678233
24,88.95899053627761
