Timesteps,Accuracy
0,55.3030303030303
1,56.060606060606055
2,56.060606060606055
3,60.60606060606061
4,65.15151515151516
5,63.63636363636363
6,60.60606060606061
7,65.15151515151516
8,62.121212121212125
9,68.93939393939394
10,67.42424242424242
11,71.21212121212122
12,73.48484848484848
13,71.96969696969697
14,78.03030303030303
15,74.24242424242425
16,75.0
17,73.48484848484848
18,75.75757575757575
19,76.51515151515152
20,74.24242424242425
21,74.24242424242425
22,73.48484848484848
23,75.75757575757575
24,75.0
