Timesteps,Accuracy
0,55.3030303030303
1,67.42424242424242
2,60.60606060606061
3,68.18181818181817
4,68.93939393939394
5,71.21212121212122
6,71.96969696969697
7,72.72727272727273
8,77.27272727272727
9,75.75757575757575
10,84.84848484848484
11,81.81818181818183
12,85.60606060606061
13,84.0909090909091
14,88.63636363636364
15,87.87878787878788
16,87.87878787878788
17,87.12121212121212
18,87.12121212121212
19,87.12121212121212
20,87.12121212121212
21,87.87878787878788
22,90.15151515151516
23,87.87878787878788
24,91.66666666666666
