Timesteps,Accuracy
0,55.3030303030303
1,45.45454545454545
2,64.39393939393939
3,67.42424242424242
4,79.54545454545455
5,82.57575757575758
6,88.63636363636364
7,86.36363636363636
8,90.9090909090909
9,89.39393939393939
10,91.66666666666666
11,91.66666666666666
12,91.66666666666666
13,91.66666666666666
14,89.39393939393939
15,87.87878787878788
16,85.60606060606061
17,87.12121212121212
18,84.0909090909091
19,84.84848484848484
20,80.3030303030303
21,82.57575757575758
22,80.3030303030303
23,81.81818181818183
24,81.06060606060606
