Timesteps,Accuracy
0,55.3030303030303
1,58.333333333333336
2,58.333333333333336
3,57.57575757575758
4,63.63636363636363
5,64.39393939393939
6,62.121212121212125
7,61.36363636363637
8,68.18181818181817
9,66.66666666666666
10,67.42424242424242
11,71.21212121212122
12,70.45454545454545
13,74.24242424242425
14,71.96969696969697
15,75.75757575757575
16,78.03030303030303
17,74.24242424242425
18,75.75757575757575
19,75.75757575757575
20,76.51515151515152
21,75.0
22,78.78787878787878
23,75.75757575757575
24,79.54545454545455
